timestamp,P2
2018-06-01 01:43:07.574851,3.2
2018-06-01 01:43:17.468232,3.07
2018-06-01 01:44:42.499186,5.7
2018-06-01 01:45:37.600245,3.0
2018-06-01 01:46:09.383931,2.8
2018-06-01 01:47:13.452238,5.7
2018-06-01 01:48:07.416026,3.23
2018-06-01 01:49:01.227080,2.7
2018-06-01 01:49:44.467948,5.07
2018-06-01 01:50:37.231669,3.23
2018-06-01 01:51:53.103867,2.53
2018-06-01 01:52:15.316503,4.87
2018-06-01 01:53:07.243519,2.97
2018-06-01 01:54:44.875525,2.33
2018-06-01 01:54:46.327489,4.6
2018-06-01 01:55:37.037603,3.6
2018-06-01 01:57:17.293398,5.1
2018-06-01 01:57:36.586729,2.63
2018-06-01 01:58:06.942475,3.03
2018-06-01 01:59:48.750745,4.82
2018-06-01 02:00:28.521225,2.43
2018-06-01 02:00:37.585764,2.6
2018-06-01 02:02:19.566883,5.2
2018-06-01 02:03:07.404965,3.1
2018-06-01 02:03:20.978078,2.37
2018-06-01 02:04:51.019687,5.07
2018-06-01 02:05:37.321583,3.13
2018-06-01 02:06:12.284375,2.97
2018-06-01 02:07:22.157847,4.57
2018-06-01 02:08:07.227601,2.57
2018-06-01 02:09:05.242231,2.4
2018-06-01 02:09:53.320303,5.0
2018-06-01 02:10:37.258753,2.9
2018-06-01 02:11:57.691721,2.63
2018-06-01 02:12:24.267168,5.4
2018-06-01 02:13:06.978010,3.57
2018-06-01 02:14:49.637630,2.6
2018-06-01 02:14:55.289725,5.53
2018-06-01 02:15:39.427832,3.3
2018-06-01 02:17:26.229298,6.45
2018-06-01 02:17:41.550375,2.6
2018-06-01 02:18:09.356473,3.63
2018-06-01 02:19:57.083423,6.07
2018-06-01 02:20:33.490560,2.5
2018-06-01 02:20:39.260208,3.0
2018-06-01 02:22:28.231858,5.82
2018-06-01 02:23:08.984647,3.7
2018-06-01 02:23:24.988776,3.0
2018-06-01 02:25:00.157304,6.45
2018-06-01 02:25:38.777695,3.83
2018-06-01 02:26:16.837197,3.57
2018-06-01 02:27:30.495104,6.3
2018-06-01 02:28:08.798184,4.0
2018-06-01 02:29:08.555722,3.6
2018-06-01 02:30:01.647324,6.87
2018-06-01 02:30:38.608569,3.0
2018-06-01 02:32:00.413144,4.1
2018-06-01 02:32:32.372331,6.1
2018-06-01 02:33:08.651782,4.5
2018-06-01 02:34:52.342025,3.83
2018-06-01 02:35:03.626131,6.03
2018-06-01 02:35:38.432306,3.7
2018-06-01 02:37:34.463450,6.2
2018-06-01 02:37:45.171723,3.7
2018-06-01 02:38:08.366616,3.37
2018-06-01 02:40:05.744226,5.47
2018-06-01 02:40:37.910614,3.47
2018-06-01 02:40:38.237512,3.8
2018-06-01 02:42:36.645791,6.45
2018-06-01 02:43:08.079459,3.5
2018-06-01 02:43:29.667728,3.13
2018-06-01 02:45:07.686764,6.93
2018-06-01 02:45:37.894021,3.8
2018-06-01 02:46:21.686968,3.33
2018-06-01 02:47:38.569316,6.05
2018-06-01 02:48:07.918839,4.13
2018-06-01 02:49:13.615717,4.1
2018-06-01 02:50:09.575434,6.3
2018-06-01 02:50:37.625730,3.13
2018-06-01 02:52:05.431412,3.9
2018-06-01 02:52:40.701891,6.15
2018-06-01 02:53:07.448170,4.27
2018-06-01 02:54:57.279649,4.4
2018-06-01 02:55:11.744203,6.3
2018-06-01 02:55:37.354904,3.57
2018-06-01 02:57:43.518936,5.95
